"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ADANIPOWER","EQ","17-May-2017","         32.85","         32.95","         33.75","         32.45","         33.00","         33.10","         33.13","   27368209","           906737552.50","      38034","    3760475","         13.74"
"ADANIPOWER","EQ","18-May-2017","         33.10","         32.80","         32.85","         31.70","         31.90","         31.90","         32.37","    9833756","           318269585.10","      15013","    2046350","         20.81"
"ADANIPOWER","EQ","19-May-2017","         31.90","         33.25","         33.25","         32.00","         32.45","         32.40","         32.55","   12551755","           408574123.25","      20421","    2456282","         19.57"
"ADANIPOWER","EQ","22-May-2017","         32.40","         32.70","         32.80","         31.10","         31.25","         31.45","         31.97","    6438711","           205840505.70","      10188","    1333782","         20.72"
"ADANIPOWER","EQ","23-May-2017","         31.45","         31.25","         31.25","         29.70","         29.80","         29.85","         30.13","    8810234","           265422289.15","      14648","    2235158","         25.37"
"ADANIPOWER","EQ","24-May-2017","         29.85","         29.90","         30.00","         27.85","         28.00","         28.00","         28.79","   15417083","           443896246.90","      24652","    4221244","         27.38"
"ADANIPOWER","EQ","25-May-2017","         28.00","         28.00","         28.95","         27.40","         28.55","         28.65","         28.10","   12744420","           358177755.65","      18914","    2396425","         18.80"
"ADANIPOWER","EQ","26-May-2017","         28.65","         28.55","         29.65","         28.30","         28.80","         28.90","         28.99","   11266349","           326562961.20","      16300","    2701720","         23.98"
"ADANIPOWER","EQ","29-May-2017","         28.90","         26.65","         28.50","         26.35","         26.55","         26.70","         27.02","   20070770","           542260985.50","      28823","    3792218","         18.89"
"ADANIPOWER","EQ","30-May-2017","         26.70","         26.60","         27.70","         25.85","         27.40","         27.35","         26.92","   13584241","           365656261.20","      18697","    1568107","         11.54"
"ADANIPOWER","EQ","31-May-2017","         27.35","         27.60","         28.15","         27.15","         27.90","         27.70","         27.57","   12954263","           357118050.20","      15130","    3140616","         24.24"
"ADANIPOWER","EQ","01-Jun-2017","         27.70","         27.75","         28.35","         26.75","         26.95","         26.95","         27.24","    7640715","           208123187.10","      14155","    2556508","         33.46"
"ADANIPOWER","EQ","02-Jun-2017","         26.95","         27.20","         27.45","         26.90","         27.20","         27.20","         27.15","    7471650","           202835652.10","      11217","    1944799","         26.03"
"ADANIPOWER","EQ","05-Jun-2017","         27.20","         27.30","         27.45","         26.75","         26.85","         26.80","         27.00","    4881688","           131805825.65","       8494","    1654497","         33.89"
"ADANIPOWER","EQ","06-Jun-2017","         26.80","         26.80","         27.45","         26.55","         27.20","         27.25","         27.04","   11028116","           298186872.45","      16601","    1703813","         15.45"
"ADANIPOWER","EQ","07-Jun-2017","         27.25","         27.85","         28.00","         27.20","         27.25","         27.35","         27.48","    9992617","           274631451.35","      13901","    2509556","         25.11"
"ADANIPOWER","EQ","08-Jun-2017","         27.35","         27.45","         27.45","         26.85","         26.90","         26.90","         26.97","    5149689","           138902139.25","       7050","    1438235","         27.93"
"ADANIPOWER","EQ","09-Jun-2017","         26.90","         27.00","         27.00","         26.45","         26.70","         26.80","         26.70","    5559464","           148442256.55","       9098","    1169696","         21.04"
"ADANIPOWER","EQ","12-Jun-2017","         26.80","         26.75","         28.35","         26.50","         27.75","         27.80","         27.50","   11146080","           306524473.40","      14686","    2246309","         20.15"
"ADANIPOWER","EQ","13-Jun-2017","         27.80","         27.80","         28.00","         27.30","         27.30","         27.45","         27.61","    8127530","           224440283.10","      11016","    1325825","         16.31"
"ADANIPOWER","EQ","14-Jun-2017","         27.45","         27.20","         28.00","         26.85","         27.80","         27.70","         27.30","    8415127","           229773826.45","      11938","    1358098","         16.14"
"ADANIPOWER","EQ","15-Jun-2017","         27.70","         27.35","         28.15","         27.35","         27.60","         27.60","         27.77","    6877768","           190962641.50","       9377","    1160817","         16.88"
"ADANIPOWER","EQ","16-Jun-2017","         27.60","         27.75","         28.20","         27.40","         27.45","         27.55","         27.81","    8534829","           237393898.10","      11097","    1615982","         18.93"
"ADANIPOWER","EQ","19-Jun-2017","         27.55","         27.60","         27.80","         27.10","         27.25","         27.20","         27.41","    4458620","           122227687.00","       5911","     725084","         16.26"
"ADANIPOWER","EQ","20-Jun-2017","         27.20","         27.25","         27.65","         27.15","         27.35","         27.35","         27.34","    4201552","           114888452.05","       6015","     655435","         15.60"
"ADANIPOWER","EQ","21-Jun-2017","         27.35","         27.30","         27.60","         27.10","         27.20","         27.20","         27.31","    3627154","            99043655.05","       4746","     935009","         25.78"
"ADANIPOWER","EQ","22-Jun-2017","         27.20","         27.30","         27.80","         27.10","         27.40","         27.30","         27.42","    5214723","           142963792.15","       7135","    1122943","         21.53"
"ADANIPOWER","EQ","23-Jun-2017","         27.30","         27.45","         27.45","         26.60","         26.65","         26.80","         26.95","    5710483","           153885152.15","       7006","    1613737","         28.26"
"ADANIPOWER","EQ","27-Jun-2017","         26.80","         26.85","         27.25","         26.45","         26.95","         27.10","         26.81","    6211034","           166529841.45","      10470","    1365359","         21.98"
"ADANIPOWER","EQ","28-Jun-2017","         27.10","         27.10","         28.45","         26.75","         28.35","         28.25","         27.79","   12240267","           340122683.45","      21224","    3943873","         32.22"
"ADANIPOWER","EQ","29-Jun-2017","         28.25","         28.70","         29.40","         28.35","         29.20","         29.10","         28.80","   11046987","           318204494.90","      19915","    2506068","         22.69"
"ADANIPOWER","EQ","30-Jun-2017","         29.10","         29.20","         30.10","         28.70","         29.70","         29.80","         29.54","   11179263","           330190958.90","      14577","    3265596","         29.21"
