"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASHOKA","EQ","12-May-2017","        212.05","        215.40","        215.95","        208.10","        211.30","        210.35","        211.88","     178470","            37814438.20","       2685","      81570","         45.71"
"ASHOKA","EQ","15-May-2017","        210.35","        211.00","        217.50","        206.15","        216.30","        216.05","        212.63","     159997","            34020520.45","       3506","      88509","         55.32"
"ASHOKA","EQ","16-May-2017","        216.05","        212.30","        216.00","        211.00","        214.00","        214.90","        213.24","     213214","            45466299.10","       2860","     151941","         71.26"
"ASHOKA","EQ","17-May-2017","        214.90","        214.30","        218.70","        212.10","        216.55","        217.00","        215.97","     383131","            82743402.10","       3297","     261939","         68.37"
"ASHOKA","EQ","18-May-2017","        217.00","        216.00","        216.60","        208.00","        210.00","        209.65","        211.74","      78709","            16665707.55","       1372","      35458","         45.05"
"ASHOKA","EQ","19-May-2017","        209.65","        212.10","        213.90","        205.05","        206.05","        206.25","        209.95","     398725","            83713500.05","       2060","     301747","         75.68"
"ASHOKA","EQ","22-May-2017","        206.25","        208.50","        209.15","        198.95","        201.05","        201.60","        204.11","     126516","            25822846.35","       2941","      86762","         68.58"
"ASHOKA","EQ","23-May-2017","        201.60","        205.00","        205.00","        192.85","        196.00","        197.65","        197.09","      97570","            19229881.90","       1844","      53598","         54.93"
"ASHOKA","EQ","24-May-2017","        197.65","        197.65","        201.30","        194.45","        198.00","        196.00","        197.80","      91289","            18057305.10","       2539","      50139","         54.92"
"ASHOKA","EQ","25-May-2017","        196.00","        200.00","        202.75","        197.10","        199.90","        199.55","        199.91","      97592","            19510048.15","       3595","      23283","         23.86"
"ASHOKA","EQ","26-May-2017","        199.55","        199.95","        203.90","        198.70","        199.90","        199.90","        200.24","     137024","            27437143.00","       2379","      89490","         65.31"
"ASHOKA","EQ","29-May-2017","        199.90","        200.00","        203.85","        198.50","        201.00","        200.05","        200.33","      59339","            11887294.00","        969","      37367","         62.97"
"ASHOKA","EQ","30-May-2017","        200.05","        202.05","        202.05","        193.00","        196.00","        194.90","        197.83","     143106","            28310528.90","       1616","     116345","         81.30"
"ASHOKA","EQ","31-May-2017","        194.90","        196.95","        198.00","        188.60","        191.00","        190.35","        193.14","     164095","            31694064.25","       4195","     114227","         69.61"
"ASHOKA","EQ","01-Jun-2017","        190.35","        191.10","        192.90","        186.15","        187.75","        187.50","        189.06","      63366","            11980171.75","       1427","      39893","         62.96"
"ASHOKA","EQ","02-Jun-2017","        187.50","        188.20","        193.50","        188.20","        190.00","        190.25","        190.46","      88745","            16902130.15","       1947","      47272","         53.27"
"ASHOKA","EQ","05-Jun-2017","        190.25","        190.35","        194.50","        190.35","        191.60","        192.00","        192.94","     558436","           107743685.50","       1894","     528408","         94.62"
"ASHOKA","EQ","06-Jun-2017","        192.00","        192.25","        193.70","        185.10","        188.20","        187.60","        188.63","      95631","            18039340.80","       2803","      52811","         55.22"
"ASHOKA","EQ","07-Jun-2017","        187.60","        187.75","        190.70","        184.55","        186.00","        186.15","        187.03","     121724","            22766203.45","       1810","      83650","         68.72"
"ASHOKA","EQ","08-Jun-2017","        186.15","        186.20","        189.90","        184.40","        185.40","        186.25","        186.87","     134107","            25061006.60","       1821","      99604","         74.27"
"ASHOKA","EQ","09-Jun-2017","        186.25","        187.70","        187.70","        184.45","        184.65","        185.05","        185.07","     265993","            49227963.35","       3412","     235242","         88.44"
"ASHOKA","EQ","12-Jun-2017","        185.05","        186.00","        192.40","        186.00","        189.50","        189.80","        190.31","     163046","            31029704.25","       3237","      71308","         43.73"
"ASHOKA","EQ","13-Jun-2017","        189.80","        191.40","        193.60","        190.05","        193.00","        192.25","        191.41","      86024","            16465818.30","       2199","      37099","         43.13"
"ASHOKA","EQ","14-Jun-2017","        192.25","        191.05","        194.70","        189.50","        190.10","        190.65","        190.83","      53418","            10193668.40","       1541","      25441","         47.63"
"ASHOKA","EQ","15-Jun-2017","        190.65","        190.15","        194.35","        186.65","        192.10","        190.55","        191.75","      79358","            15216574.75","       1695","      44624","         56.23"
"ASHOKA","EQ","16-Jun-2017","        190.55","        193.65","        195.40","        191.10","        192.00","        193.30","        193.78","     248739","            48200383.00","       2036","     213584","         85.87"
"ASHOKA","EQ","19-Jun-2017","        193.30","        195.40","        196.15","        192.85","        195.60","        194.80","        194.69","      60229","            11726166.15","       1696","      37615","         62.45"
"ASHOKA","EQ","20-Jun-2017","        194.80","        198.00","        205.00","        196.85","        198.50","        199.20","        200.04","     380970","            76208565.30","       5076","     221832","         58.23"
"ASHOKA","EQ","21-Jun-2017","        199.20","        199.20","        199.20","        194.25","        199.00","        198.25","        197.16","      66151","            13042336.65","       1331","      37384","         56.51"
"ASHOKA","EQ","22-Jun-2017","        198.25","        198.85","        198.95","        190.60","        191.15","        191.55","        193.37","      94821","            18335832.70","       2415","      64930","         68.48"
"ASHOKA","EQ","23-Jun-2017","        191.55","        193.60","        193.60","        183.00","        184.30","        184.15","        185.84","     167822","            31187968.55","       4111","     129874","         77.39"
"ASHOKA","EQ","27-Jun-2017","        184.15","        184.20","        186.60","        180.00","        183.10","        182.75","        182.46","      59962","            10940840.90","       2091","      37682","         62.84"
"ASHOKA","EQ","28-Jun-2017","        182.75","        182.75","        187.35","        178.75","        182.45","        183.65","        183.06","     122700","            22461348.55","       1882","      76683","         62.50"
"ASHOKA","EQ","29-Jun-2017","        183.65","        186.35","        188.00","        182.00","        186.70","        186.65","        185.25","     364933","            67602741.00","       2190","     327188","         89.66"
"ASHOKA","EQ","30-Jun-2017","        186.65","        189.05","        189.05","        182.20","        185.20","        184.60","        184.77","      48648","             8988588.85","       1047","      25780","         52.99"
