"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IDBI","EQ","28-Apr-2017","         74.80","         74.75","         78.80","         74.50","         78.00","         78.10","         77.14","   13363165","          1030832035.55","      33364","    3265898","         24.44"
"IDBI","EQ","02-May-2017","         78.10","         78.50","         78.90","         76.20","         77.55","         77.45","         77.58","    4982458","           386538055.20","      14590","    1574248","         31.60"
"IDBI","EQ","03-May-2017","         77.45","         77.45","         81.20","         76.60","         79.15","         79.40","         79.39","    8858240","           703250306.40","      25297","    1960217","         22.13"
"IDBI","EQ","04-May-2017","         79.40","         80.85","         82.30","         80.40","         81.30","         81.35","         81.29","    8265183","           671838885.85","      25562","    1834544","         22.20"
"IDBI","EQ","05-May-2017","         81.35","         81.80","         82.70","         77.25","         78.35","         78.35","         80.29","    9597378","           770596757.70","      27185","    1852048","         19.30"
"IDBI","EQ","08-May-2017","         78.35","         78.60","         79.95","         77.75","         79.15","         79.15","         78.73","    4283263","           337223183.00","      13468","     714538","         16.68"
"IDBI","EQ","09-May-2017","         79.15","         79.05","         82.50","         77.75","         81.60","         82.00","         80.79","   12373196","           999645894.50","      28183","    3088068","         24.96"
"IDBI","EQ","10-May-2017","         82.00","         80.10","         80.90","         77.55","         78.00","         78.00","         79.16","   10024184","           793541375.65","      33671","    2300306","         22.95"
"IDBI","EQ","11-May-2017","         78.00","         78.55","         79.05","         77.50","         77.65","         77.85","         78.16","    3899266","           304774659.95","      12594","     697041","         17.88"
"IDBI","EQ","12-May-2017","         77.85","         78.10","         78.20","         75.15","         75.45","         75.50","         76.30","    4934977","           376531292.55","      15009","    1115799","         22.61"
"IDBI","EQ","15-May-2017","         75.50","         75.70","         76.10","         73.15","         75.25","         75.05","         74.58","    6688622","           498825806.50","      16062","    1486475","         22.22"
"IDBI","EQ","16-May-2017","         75.05","         75.30","         77.75","         73.85","         77.05","         76.65","         75.38","    8740098","           658799552.05","      24319","    2578070","         29.50"
"IDBI","EQ","17-May-2017","         76.65","         76.65","         77.30","         75.60","         75.75","         75.95","         76.37","    3152912","           240782386.60","      11386","     643174","         20.40"
"IDBI","EQ","18-May-2017","         75.95","         75.00","         75.50","         69.05","         69.05","         69.95","         71.46","   15086266","          1078019708.70","      36259","    2852529","         18.91"
"IDBI","EQ","19-May-2017","         69.95","         69.00","         70.95","         68.50","         68.70","         68.75","         69.42","   10966153","           761289270.65","      39512","    1949156","         17.77"
"IDBI","EQ","22-May-2017","         68.75","         69.00","         69.60","         65.75","         65.75","         66.20","         67.21","    5762847","           387305384.80","      16309","    1607880","         27.90"
"IDBI","EQ","23-May-2017","         66.20","         66.50","         66.50","         63.75","         64.25","         64.90","         65.33","    7617161","           497660587.40","      17564","    1654486","         21.72"
"IDBI","EQ","24-May-2017","         64.90","         63.50","         63.95","         60.25","         61.00","         61.00","         62.20","   14391668","           895141183.10","      35274","    2796068","         19.43"
"IDBI","EQ","25-May-2017","         61.00","         61.50","         62.30","         60.35","         61.60","         61.70","         61.39","    7624403","           468076149.80","      17440","    1759676","         23.08"
"IDBI","EQ","26-May-2017","         61.70","         62.40","         63.45","         62.05","         62.70","         62.65","         62.69","    5662009","           354954331.40","      18426","    1029061","         18.17"
"IDBI","EQ","29-May-2017","         62.65","         62.70","         63.00","         60.00","         60.10","         60.15","         61.09","    3830318","           233998837.85","      12004","    1104768","         28.84"
"IDBI","EQ","30-May-2017","         60.15","         59.30","         61.25","         58.80","         60.90","         60.75","         60.27","    4463073","           268974089.40","      12164","     666689","         14.94"
"IDBI","EQ","31-May-2017","         60.75","         60.80","         61.00","         59.30","         60.10","         60.00","         59.97","    4105571","           246203119.05","      13088","     903542","         22.01"
"IDBI","EQ","01-Jun-2017","         60.00","         59.55","         61.10","         59.45","         60.60","         60.75","         60.21","    3045916","           183386494.15","      10587","     564961","         18.55"
"IDBI","EQ","02-Jun-2017","         60.75","         61.45","         61.50","         60.10","         60.75","         60.95","         60.91","    3132336","           190778726.80","      11041","     474454","         15.15"
"IDBI","EQ","05-Jun-2017","         60.95","         60.90","         61.45","         60.40","         60.60","         60.75","         60.88","    1960528","           119348839.60","       7047","     367270","         18.73"
"IDBI","EQ","06-Jun-2017","         60.75","         60.75","         61.05","         59.25","         59.75","         59.85","         60.00","    2537684","           152251302.60","       8124","     601929","         23.72"
"IDBI","EQ","07-Jun-2017","         59.85","         59.90","         60.50","         59.80","         60.30","         60.20","         60.12","    2025835","           121794291.20","      11604","     366247","         18.08"
"IDBI","EQ","08-Jun-2017","         60.20","         60.30","         60.55","         59.25","         59.45","         59.40","         59.76","    2133559","           127508134.75","       9505","     641035","         30.05"
"IDBI","EQ","09-Jun-2017","         59.40","         59.10","         60.25","         58.75","         59.75","         59.90","         59.68","    2050990","           122401570.25","       9113","     343153","         16.73"
"IDBI","EQ","12-Jun-2017","         59.90","         59.10","         59.75","         58.10","         58.25","         58.30","         58.92","    2714012","           159912176.40","      10309","     880205","         32.43"
"IDBI","EQ","13-Jun-2017","         58.30","         58.30","         58.70","         57.10","         57.20","         57.40","         58.01","    2311430","           134085914.25","       9116","     802545","         34.72"
"IDBI","EQ","14-Jun-2017","         57.40","         57.45","         60.70","         57.05","         59.65","         60.05","         59.01","    6391227","           377148329.50","      20149","    1303513","         20.40"
"IDBI","EQ","15-Jun-2017","         60.05","         59.75","         60.35","         59.15","         59.35","         59.45","         59.59","    2901441","           172897780.20","      11573","     470839","         16.23"
"IDBI","EQ","16-Jun-2017","         59.45","         59.60","         59.95","         58.75","         58.90","         58.95","         59.32","    2194461","           130166139.00","       7285","     611162","         27.85"
"IDBI","EQ","19-Jun-2017","         58.95","         59.50","         59.60","         56.85","         57.00","         57.10","         57.88","    4019409","           232634685.90","      12121","    1366762","         34.00"
"IDBI","EQ","20-Jun-2017","         57.10","         57.50","         57.60","         55.55","         56.00","         55.90","         56.36","    4544041","           256079931.60","      13683","    1416365","         31.17"
"IDBI","EQ","21-Jun-2017","         55.90","         55.55","         57.50","         55.55","         56.85","         56.90","         56.87","    4282137","           243525618.20","      12806","     753192","         17.59"
"IDBI","EQ","22-Jun-2017","         56.90","         57.30","         57.60","         56.75","         56.80","         56.95","         57.25","    2407457","           137834679.30","       7457","     463136","         19.24"
"IDBI","EQ","23-Jun-2017","         56.95","         56.95","         57.00","         55.55","         56.30","         56.25","         56.24","    2511967","           141273264.90","       9733","     472043","         18.79"
"IDBI","EQ","27-Jun-2017","         56.25","         55.55","         56.15","         54.55","         55.10","         55.15","         55.11","    3242098","           178686572.60","      12296","     752472","         23.21"
"IDBI","EQ","28-Jun-2017","         55.15","         55.00","         55.40","         53.80","         53.90","         54.05","         54.52","    5005534","           272881590.90","      17886","    2021311","         40.38"
"IDBI","EQ","29-Jun-2017","         54.05","         54.20","         54.75","         53.20","         53.60","         53.40","         53.74","    6224586","           334519515.20","      13342","    2209152","         35.49"
"IDBI","EQ","30-Jun-2017","         53.40","         53.65","         54.45","         53.15","         53.50","         53.50","         53.68","    5002487","           268536420.80","      12607","    2106694","         42.11"
